Description,Designator,Quantity,Manufacturer Name,Manufacturer Part Number,Case

"Multilayer Ceramic Capacitors - SMD - 6V3 4.7uF X5R 0402 20%","C1, C2, C3, C4, C5, C6, C7, C8","8","KEMET","C0402C475M9PACTU","0402"
"Standard LEDs - SMD MINI-MOLD ULTRA COMPACT GREEN","D1, D2, D3, D4, D5, D6, D7, D8","8","ROHM Semiconductor","SML-P12MTT86R","0402"
"2.50mm Pitch Mini-Lock Wire-to-Board Header Right Angle Friction and Positive Lock 10 Circuits","J2","1","Molex","53426-1010","TH"
"Thick Film Resistors - SMD 1/2 W 220 KOhm 5%","R1, R3, R5, R7, R9, R11, R13, R15","8","Vishay Dale","CRCW0805220KJNEAHP","0805"
"Thick Film Resistors - SMD 1/16 W 47 KOhm 1%","R2, R4, R6, R8, R10, R12, R14, R16","8","Vishay","CRCW040247K0FKED","0402"
"OptpCoupler 4CH 16 Pin (SOP16)","U1, U2","2","Vishay Semiconductors","TCMT4100","SOP-16"
